model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Cupra Leon ;€ 18,452.-;116,246 km;11/2016;213 kW (290 hp);Used;2 previous owners;Automatic;Gasoline;6.8 l/100 km (comb.);158 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 62,990.-;40,000 km;01/2018;350 kW (476 hp);Used;- (Previous Owners);Automatic;Gasoline;8.6 l/100 km (comb.);- (g/km)
Volvo XC60 ;€ 24,990.-;90,200 km;07/2016;162 kW (220 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz A 250 ;€ 35,755.-;49,446 km;12/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;14.8 kWh/100 km (comb.);- (g/km)
Mercedes-Benz E 220 ;€ 27,900.-;194,000 km;07/2019;143 kW (194 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);- (g/km)
Mercedes-Benz E 350 ;€ 47,950.-;34,078 km;09/2019;220 kW (299 hp);Used;1 previous owner;Automatic;Gasoline;8.3 l/100 km;189 g/km (comb.)
Tesla Model 3 ;€ 36,950.-;31,600 km;12/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz SLC 200 ;€ 34,995.-;1,945 km;06/2020;135 kW (184 hp);Used;1 previous owner;Manual;Gasoline;6.1 l/100 km (comb.);142 g/km (comb.)
Volkswagen T6 Caravelle ;€ 36,990.-;55,050 km;11/2016;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Volkswagen Tiguan ;€ 18,990.-;106,925 km;08/2017;110 kW (150 hp);Used;1 previous owner;Manual;Gasoline;5.7 l/100 km (comb.);130 g/km (comb.)
Mercedes-Benz E 350 ;€ 26,950.-;215,000 km;03/2017;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);133 g/km (comb.)
Volkswagen Golf ;€ 57,990.-;14,355 km;10/2021;235 kW (320 hp);Used;1 previous owner;Automatic;Gasoline;7 l/100 km (comb.);161 g/km (comb.)
Peugeot 3008 ;€ 20,500.-;65,986 km;01/2019;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Nissan Juke ;€ 12,900.-;104,000 km;05/2012;140 kW (190 hp);Used;- (Previous Owners);Manual;Gasoline;6.9 l/100 km (comb.);- (g/km)
Opel Crossland ;€ 13,500.-;100,920 km;04/2019;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);- (g/km)
Renault Koleos ;€ 13,950.-;82,123 km;07/2013;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Audi SQ8 ;€ 114,970.-;36,450 km;02/2021;373 kW (507 hp);Used;1 previous owner;Automatic;Gasoline;12.9 l/100 km;293 g/km (comb.)
Volkswagen Polo ;€ 4,780.-;226,500 km;04/2010;55 kW (75 hp);Used;2 previous owners;Manual;Diesel;3.4 l/100 km (comb.);89 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 30,890.-;125,000 km;10/2011;400 kW (544 hp);Used;- (Previous Owners);Automatic;Gasoline;10.5 l/100 km (comb.);244 g/km (comb.)
Alfa Romeo Stelvio ;€ 29,500.-;59,964 km;01/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);- (g/km)
Audi A5 ;€ 17,990.-;36,700 km;07/2011;125 kW (170 hp);Used;1 previous owner;Manual;Diesel;5.3 l/100 km (comb.);134 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 105,990.-;80,000 km;04/2018;430 kW (585 hp);Used;1 previous owner;Automatic;Gasoline;10.3 l/100 km (comb.);242 g/km (comb.)
BMW i8 ;€ 99,900.-;33,000 km;08/2019;268 kW (364 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2 l/100 km (comb.);49 g/km (comb.)
Kia e-Niro ;€ 36,950.-;45,663 km;07/2019;150 kW (204 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz GLE 53 AMG ;€ 109,850.-;6,209 km;01/2022;320 kW (435 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);220 g/km (comb.)
Volvo XC90 ;€ 49,450.-;73,800 km;05/2018;223 kW (303 hp);Used;1 previous owner;Automatic;Gasoline;;59 g/km (comb.)
BMW 520 ;€ 6,899.-;185,000 km;11/2007;130 kW (177 hp);Used;4 previous owners;Manual;Diesel;- (l/100 km);149 g/km (comb.)
Porsche Panamera ;€ 89,900.-;113,000 km;08/2017;310 kW (421 hp);Used;2 previous owners;Automatic;Diesel;6.7 l/100 km (comb.);176 g/km (comb.)
Skoda Superb ;€ 26,900.-;111,189 km;12/2020;115 kW (156 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.5 l/100 km (comb.);- (g/km)
Volkswagen Beetle ;€ 12,950.-;99,922 km;08/2012;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);0 g/km (comb.)
Mercedes-Benz AMG GT ;€ 131,835.-;45,642 km;10/2019;470 kW (639 hp);Used;1 previous owner;Automatic;Gasoline;11.3 l/100 km (comb.);257 g/km (comb.)
BMW 750 ;€ 34,499.-;51,678 km;05/2015;330 kW (449 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Chrysler Crossfire ;€ 5,900.-;192,000 km;01/2004;160 kW (218 hp);Used;- (Previous Owners);Manual;Gasoline;10.4 l/100 km (comb.);- (g/km)
Hyundai i30 ;€ 24,475.-;42,715 km;10/2019;202 kW (275 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);- (g/km)
BMW X3 ;€ 59,999.-;2,915 km;01/2021;215 kW (292 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.4 l/100 km (comb.);47 g/km (comb.)
Audi S8 ;€ 47,990.-;78,000 km;05/2015;382 kW (519 hp);Used;- (Previous Owners);Automatic;Gasoline;9.4 l/100 km (comb.);215 g/km (comb.)
Peugeot 3008 ;€ 12,490.-;27,500 km;10/2013;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5.3 l/100 km (comb.);139 g/km (comb.)
Peugeot 3008 ;€ 12,490.-;27,500 km;10/2013;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5.3 l/100 km (comb.);139 g/km (comb.)
BMW 218 ;€ 15,950.-;130,000 km;06/2019;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.6 l/100 km (comb.);120 g/km (comb.)
Porsche Macan ;€ 31,990.-;196,118 km;05/2015;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);159 g/km (comb.)
Audi A3 ;€ 8,290.-;206,500 km;08/2011;103 kW (140 hp);Used;2 previous owners;Manual;Diesel;5.1 l/100 km (comb.);135 g/km (comb.)
Mazda RX-8 ;€ 9,985.-;65,000 km;04/2004;170 kW (231 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf Plus ;€ 11,450.-;66,825 km;08/2009;118 kW (160 hp);Used;1 previous owner;Automatic;Gasoline;6.3 l/100 km (comb.);147 g/km (comb.)
Others ;€ 69,990.-;465,000 km;01/1999;213 kW (290 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);0 g/km (comb.)
Audi A6 allroad ;€ 19,985.-;150,000 km;04/2013;150 kW (204 hp);Used;1 previous owner;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Land Rover Discovery Sport ;€ 19,985.-;150,000 km;02/2017;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);134 g/km (comb.)
Others ;€ 69,990.-;465,000 km;01/1999;213 kW (290 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);0 g/km (comb.)
Mercedes-Benz G 500 ;€ 82,900.-;110,000 km;01/2006;218 kW (296 hp);Used;- (Previous Owners);Automatic;Gasoline;15.5 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Audi SQ8 ;€ 95,749.-;76,450 km;11/2019;320 kW (435 hp);Used;1 previous owner;Automatic;Diesel;7.8 l/100 km (comb.);204 g/km (comb.)
Volkswagen T5 Multivan ;€ 23,000.-;90,000 km;12/2012;132 kW (179 hp);Used;- (Previous Owners);Automatic;Diesel;8.3 l/100 km (comb.);- (g/km)
BMW 330 ;€ 28,380.-;50,000 km;05/2018;185 kW (252 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.1 l/100 km (comb.);49 g/km (comb.)
Mercedes-Benz E 53 AMG ;€ 55,990.-;96,000 km;02/2019;320 kW (435 hp);Used;1 previous owner;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
Kia Optima ;€ 24,900.-;39,153 km;04/2019;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
Citroen Berlingo ;€ 9,990.-;125,000 km;08/2015;73 kW (99 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
BMW 440 ;€ 29,800.-;77,900 km;08/2016;240 kW (326 hp);Used;3 previous owners;Automatic;Gasoline;6.6 l/100 km (comb.);154 g/km (comb.)
Kia Carens ;€ 5,950.-;224,388 km;04/2014;99 kW (135 hp);Used;1 previous owner;Automatic;Gasoline;6.8 l/100 km (comb.);161 g/km (comb.)
BMW 740 ;€ 53,390.-;84,756 km;04/2017;240 kW (326 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;2 l/100 km (comb.);- (g/km)
Mercedes-Benz S 350 ;€ 83,950.-;53,000 km;11/2020;210 kW (286 hp);Used;2 previous owners;Automatic;Diesel;6.2 l/100 km (comb.);162 g/km (comb.)
Volkswagen Golf ;€ 19,469.-;95,661 km;06/2018;135 kW (184 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);117 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 42,680.-;37,367 km;03/2018;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;8 l/100 km (comb.);183 g/km (comb.)
Audi RS5 ;€ 55,890.-;80,000 km;02/2018;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;8.7 l/100 km (comb.);197 g/km (comb.)
Abarth 595 Pista ;€ 16,300.-;53,754 km;04/2018;118 kW (160 hp);Used;- (Previous Owners);Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
Mercedes-Benz A 250 ;€ 28,885.-;30,901 km;08/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
BMW 216 ;€ 17,950.-;59,000 km;06/2018;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4 l/100 km (comb.);106 g/km (comb.)
Nissan NV300 ;€ 21,340.-;99,750 km;11/2016;92 kW (125 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);145 g/km (comb.)
Dacia Duster ;€ 11,990.-;105,446 km;03/2017;81 kW (110 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);115 g/km (comb.)
BMW X3 ;€ 14,985.-;156,000 km;01/2014;135 kW (184 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);148 g/km (comb.)
Ford Mustang ;€ 54,990.-;4,500 km;04/2022;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz A 250 ;€ 29,985.-;21,973 km;12/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Volkswagen Golf ;€ 13,980.-;77,000 km;11/1989;128 kW (174 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Ford Mondeo ;€ 9,560.-;169,000 km;01/2018;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.8 l/100 km (comb.);- (g/km)
Volkswagen Golf ;€ 13,950.-;183,000 km;09/2017;135 kW (184 hp);Used;1 previous owner;Manual;Diesel;4.7 l/100 km (comb.);123 g/km (comb.)
Jaguar F-Pace ;€ 33,855.-;165,000 km;05/2019;221 kW (300 hp);Used;1 previous owner;Automatic;Diesel;6.5 l/100 km (comb.);171 g/km (comb.)
Audi RS6 ;€ 104,700.-;124,600 km;06/2020;441 kW (600 hp);Used;1 previous owner;Automatic;Gasoline;11.7 l/100 km (comb.);268 g/km (comb.)
BMW X1 ;€ 18,490.-;99,000 km;04/2018;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Ford Focus ;€ 19,985.-;34,700 km;09/2019;134 kW (182 hp);Used;1 previous owner;Manual;Gasoline;5.5 l/100 km (comb.);146 g/km (comb.)
Tesla Model S ;€ 81,790.-;29,743 km;06/2020;585 kW (795 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Lamborghini Huracan ;€ 199,610.-;47,000 km;04/2015;449 kW (610 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
BMW 123 ;€ 5,490.-;260,444 km;07/2008;150 kW (204 hp);Used;3 previous owners;Manual;Diesel;5.9 l/100 km (comb.);157 g/km (comb.)
MINI John Cooper Works Coupe ;€ 14,900.-;150,000 km;08/2015;155 kW (211 hp);Used;- (Previous Owners);Manual;Gasoline;7.1 l/100 km (comb.);168 g/km (comb.)
Tesla Model 3 ;€ 48,990.-;23,500 km;11/2021;324 kW (441 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Tesla Model X ;€ 96,990.-;18,000 km;02/2021;- kW (- hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Audi A5 ;€ 22,699.-;186,000 km;11/2014;180 kW (245 hp);Used;- (Previous Owners);Automatic;Diesel;5.8 l/100 km (comb.);154 g/km (comb.)
SsangYong REXTON ;€ 11,200.-;116,000 km;11/2016;114 kW (155 hp);Used;- (Previous Owners);Manual;Diesel;7.3 l/100 km (comb.);- (g/km)
Subaru BRZ ;€ 23,450.-;102,978 km;04/2017;147 kW (200 hp);Used;- (Previous Owners);Manual;Gasoline;7.8 l/100 km (comb.);180 g/km (comb.)
Renault Laguna ;€ 7,490.-;104,000 km;05/2012;127 kW (173 hp);Used;2 previous owners;Automatic;Diesel;5.7 l/100 km (comb.);151 g/km (comb.)
Porsche Cayman ;€ 52,500.-;16,400 km;02/2013;202 kW (275 hp);Used;1 previous owner;Automatic;Gasoline;;180 g/km (comb.)
Nissan 370Z ;€ 33,990.-;9,262 km;09/2016;241 kW (328 hp);Used;1 previous owner;Automatic;Gasoline;10.5 l/100 km (comb.);245 g/km (comb.)
BMW 760 ;€ 62,990.-;115,000 km;03/2017;448 kW (609 hp);Used;- (Previous Owners);Automatic;Gasoline;12.8 l/100 km (comb.);294 g/km (comb.)
BMW M8 ;€ 134,900.-;14,995 km;04/2020;460 kW (625 hp);Used;1 previous owner;Automatic;Gasoline;10.6 l/100 km (comb.);242 g/km (comb.)
Mercedes-Benz E 63 AMG ;€ 59,990.-;68,254 km;12/2014;430 kW (585 hp);Used;2 previous owners;Automatic;Gasoline;- (l/100 km);246 g/km (comb.)
Mercedes-Benz SLK 55 AMG ;€ 34,900.-;78,788 km;08/2005;265 kW (360 hp);Used;- (Previous Owners);Automatic;Gasoline;12 l/100 km (comb.);- (g/km)
Audi RS7 ;€ 65,950.-;91,968 km;04/2017;445 kW (605 hp);Used;3 previous owners;Automatic;Gasoline;9.5 l/100 km (comb.);221 g/km (comb.)
Lexus LS 460 ;€ 29,985.-;33,800 km;01/2007;280 kW (381 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Nissan 370Z ;€ 33,880.-;50,000 km;10/2019;241 kW (328 hp);Used;1 previous owner;Automatic;Gasoline;11.3 l/100 km (comb.);259 g/km (comb.)
Infiniti EX37 ;€ 11,900.-;133,000 km;04/2010;235 kW (320 hp);Used;- (Previous Owners);Automatic;Gasoline;11.3 l/100 km (comb.);- (g/km)
Bentley Mulsanne ;€ 119,999.-;105,000 km;06/2016;395 kW (537 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
BMW M6 ;€ 59,900.-;78,500 km;11/2009;373 kW (507 hp);Used;2 previous owners;Automatic;Gasoline;14.8 l/100 km (comb.);351 g/km (comb.)
Audi RS5 ;€ 30,950.-;73,038 km;05/2011;331 kW (450 hp);Used;4 previous owners;Automatic;Gasoline;10.8 l/100 km (comb.);252 g/km (comb.)
Audi A5 ;€ 17,999.-;192,225 km;09/2011;228 kW (310 hp);Used;- (Previous Owners);Automatic;Diesel;6.6 l/100 km (comb.);174 g/km (comb.)
Mercedes-Benz E 200 ;€ 12,985.-;166,000 km;07/2011;135 kW (184 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz C 350 ;€ 31,990.-;34,018 km;07/2017;205 kW (279 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;2.4 l/100 km (comb.);- (g/km)
Mercedes-Benz AMG GT ;€ 104,890.-;25,027 km;04/2017;375 kW (510 hp);Used;2 previous owners;Automatic;Gasoline;9.4 l/100 km (comb.);219 g/km (comb.)
Audi S8 ;€ 58,900.-;85,000 km;04/2016;445 kW (605 hp);Used;1 previous owner;Automatic;Gasoline;10 l/100 km (comb.);- (g/km)
Nissan Murano ;€ 8,485.-;169,800 km;02/2008;172 kW (234 hp);Used;- (Previous Owners);Automatic;LPG;- (l/100 km);- (g/km)
BMW Z3 ;€ 8,990.-;224,963 km;05/2001;85 kW (116 hp);Used;- (Previous Owners);Manual;Gasoline;7.9 l/100 km (comb.);- (g/km)
Audi RS6 ;€ 128,900.-;26,000 km;07/2021;441 kW (600 hp);Used;- (Previous Owners);Automatic;Gasoline;7.2 l/100 km (comb.);- (g/km)
Infiniti EX30 ;€ 7,999.-;262,000 km;09/2011;175 kW (238 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Opel Insignia ;€ 19,400.-;96,000 km;02/2018;191 kW (260 hp);Used;- (Previous Owners);Automatic;Gasoline;8.6 l/100 km (comb.);197 g/km (comb.)
Porsche Panamera ;€ 33,900.-;105,000 km;08/2011;279 kW (379 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;7.1 l/100 km (comb.);- (g/km)
DFSK Seres 3 ;€ 29,900.-;5,500 km;03/2022;120 kW (163 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Audi Q7 ;€ 42,999.-;160,000 km;08/2017;190 kW (258 hp);Used;1 previous owner;Automatic;Electric/Diesel;1.9 l/100 km (comb.);50 g/km (comb.)
Mercedes-Benz C 200 ;€ 26,900.-;114,804 km;07/2019;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Audi RS7 ;€ 53,990.-;100,000 km;10/2015;412 kW (560 hp);Used;- (Previous Owners);Automatic;Gasoline;9.5 l/100 km (comb.);221 g/km (comb.)
Lancia Voyager ;€ 10,900.-;154,619 km;10/2013;130 kW (177 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
BMW M6 ;€ 56,990.-;86,000 km;06/2016;441 kW (600 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf ;€ 33,900.-;66,900 km;05/2017;228 kW (310 hp);Used;2 previous owners;Automatic;Gasoline;7 l/100 km (comb.);160 g/km (comb.)
Mercedes-Benz GLE 53 AMG ;€ 117,450.-;28,055 km;04/2021;320 kW (435 hp);Used;- (Previous Owners);Automatic;Gasoline;9.6 l/100 km (comb.);219 g/km (comb.)
Mercedes-Benz C 220 ;€ 12,900.-;146,000 km;11/2010;125 kW (170 hp);Used;- (Previous Owners);Automatic;Diesel;6.8 l/100 km (comb.);- (g/km)
Mercedes-Benz E 200 ;€ 8,950.-;449,719 km;10/2015;100 kW (136 hp);Used;1 previous owner;Automatic;Diesel;4.9 l/100 km (comb.);130 g/km (comb.)
Hyundai i40 ;€ 9,500.-;145,000 km;08/2013;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.3 l/100 km (comb.);- (g/km)
Mercedes-Benz S 300 ;€ 39,990.-;181,850 km;10/2014;150 kW (204 hp);Used;1 previous owner;Automatic;Electric/Diesel;4.4 l/100 km (comb.);115 g/km (comb.)
Mercedes-Benz ;€ 38,999.-;68,503 km;12/2018;280 kW (381 hp);Used;- (Previous Owners);Automatic;Gasoline;8.5 l/100 km (comb.);193 g/km (comb.)
Porsche 993 ;€ 154,950.-;168,852 km;04/1995;300 kW (408 hp);Used;3 previous owners;Manual;Gasoline;;301 g/km (comb.)
Porsche Panamera ;€ 42,350.-;165,000 km;02/2014;245 kW (333 hp);Used;2 previous owners;Automatic;Electric/Gasoline;3.1 l/100 km (comb.);71 g/km (comb.)
Lexus UX 200 ;€ 25,026.-;36,996 km;11/2019;131 kW (178 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
BMW M4 ;€ 109,900.-;8,000 km;04/2021;- kW (- hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz C 200 ;€ 26,900.-;114,804 km;07/2019;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Lexus IS 300 ;€ 27,500.-;40,933 km;01/2020;164 kW (223 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.6 l/100 km (comb.);- (g/km)
Porsche Cayman ;€ 37,999.-;42,000 km;12/2008;217 kW (295 hp);Used;- (Previous Owners);Manual;Gasoline;11 l/100 km (comb.);262 g/km (comb.)
Land Rover Freelander ;€ 6,850.-;239,690 km;07/2011;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;6.7 l/100 km (comb.);165 g/km (comb.)
Audi RS6 ;€ 112,800.-;69,998 km;01/2021;441 kW (600 hp);Used;1 previous owner;Automatic;Gasoline;11.5 l/100 km (comb.);263 g/km (comb.)
Mercedes-Benz AMG GT ;€ 135,480.-;45,045 km;11/2019;470 kW (639 hp);Used;1 previous owner;Automatic;Gasoline;11.3 l/100 km (comb.);257 g/km (comb.)
Mercedes-Benz SLK 350 ;€ 36,990.-;20,052 km;04/2013;225 kW (306 hp);Used;2 previous owners;Automatic;Gasoline;- (l/100 km);167 g/km (comb.)
Mercedes-Benz E 220 ;€ 34,900.-;100,583 km;08/2017;143 kW (194 hp);Used;1 previous owner;Automatic;Diesel;4.8 l/100 km (comb.);129 g/km (comb.)
Cupra Ateca ;€ 32,800.-;89,012 km;11/2020;221 kW (300 hp);Used;- (Previous Owners);Automatic;Gasoline;8.5 l/100 km (comb.);198 g/km (comb.)
Mercedes-Benz SLK 350 ;€ 33,880.-;46,437 km;06/2015;225 kW (306 hp);Used;- (Previous Owners);Automatic;Gasoline;7.2 l/100 km (comb.);171 g/km (comb.)
Volkswagen Jetta ;€ 2,600.-;232,000 km;10/2007;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz SL 63 AMG ;€ 95,990.-;96,000 km;09/2016;430 kW (585 hp);Used;1 previous owner;Automatic;Gasoline;9.8 l/100 km (comb.);229 g/km (comb.)
Lexus IS F ;€ 49,990.-;6,309 km;10/2010;311 kW (423 hp);Used;- (Previous Owners);Automatic;Gasoline;11.6 l/100 km (comb.);- (g/km)
Citroen Spacetourer ;€ 19,990.-;26,504 km;07/2018;88 kW (120 hp);Used;- (Previous Owners);Manual;Diesel;4.8 l/100 km (comb.);- (g/km)
Porsche 911 ;€ 83,880.-;93,875 km;01/2015;257 kW (349 hp);Used;- (Previous Owners);Automatic;Gasoline;8.4 l/100 km (comb.);195 g/km (comb.)
Toyota Highlander ;€ 44,200.-;38,651 km;03/2021;181 kW (246 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Mazda CX-7 ;€ 7,900.-;211,400 km;08/2011;120 kW (163 hp);Used;2 previous owners;Manual;Diesel;7.5 l/100 km (comb.);199 g/km (comb.)
Citroen C3 Aircross ;€ 13,500.-;101,990 km;01/2019;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);- (g/km)
Mazda 3 ;€ 15,490.-;98,500 km;08/2016;121 kW (165 hp);Used;2 previous owners;Manual;Gasoline;5.8 l/100 km (comb.);135 g/km (comb.)
MINI Cooper S ;€ 13,990.-;146,000 km;01/2021;141 kW (192 hp);Used;- (Previous Owners);Manual;Gasoline;6.4 l/100 km (comb.);- (g/km)
Mercedes-Benz E 63 AMG ;€ 72,990.-;75,000 km;11/2017;450 kW (612 hp);Used;- (Previous Owners);Automatic;Gasoline;8.8 l/100 km (comb.);199 g/km (comb.)
Porsche Panamera ;€ 61,995.-;102,120 km;10/2017;243 kW (330 hp);Used;1 previous owner;Automatic;Gasoline;7.5 l/100 km (comb.);177 g/km (comb.)
Jaguar F-Type ;€ 97,900.-;54,770 km;10/2017;423 kW (575 hp);Used;- (Previous Owners);Automatic;Gasoline;11.3 l/100 km (comb.);- (g/km)
Audi A7 ;€ 34,900.-;154,268 km;06/2015;240 kW (326 hp);Used;2 previous owners;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Audi A1 ;€ 13,990.-;19,000 km;12/2010;90 kW (122 hp);Used;- (Previous Owners);Automatic;Gasoline;5.3 l/100 km (comb.);124 g/km (comb.)
Lexus CT 200h ;€ 11,100.-;118,873 km;03/2012;- kW (- hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;3.8 l/100 km (comb.);94 g/km (comb.)
Porsche 911 ;€ 86,900.-;96,650 km;01/2013;257 kW (349 hp);Used;- (Previous Owners);Automatic;Gasoline;8.7 l/100 km (comb.);205 g/km (comb.)
Renault Megane ;€ 3,900.-;260,200 km;06/2010;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;5.1 l/100 km (comb.);- (g/km)
Mazda CX-5 ;€ 11,790.-;160,000 km;03/2014;129 kW (175 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Volkswagen CC ;€ 12,890.-;153,831 km;03/2012;100 kW (136 hp);Used;1 previous owner;Manual;Diesel;4.8 l/100 km;125 g/km (comb.)
Ford Mustang ;€ 38,995.-;22,670 km;06/2018;213 kW (290 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Tesla Model Y ;€ 59,900.-;14,000 km;03/2022;378 kW (514 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Cupra Leon ;€ 39,850.-;21,550 km;06/2021;110 kW (150 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km (comb.);40 g/km (comb.)
